end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2017-06-30,241086000000,0001564590-17-014900,2017,FY,10-K,2017-08-02,,Assets,USD,MSFT,0000789019
2017-06-30,250312000000,0001564590-17-020171,2018,Q1,10-Q,2017-10-26,,Assets,USD,MSFT,0000789019
2017-06-30,250312000000,0001564590-18-001129,2018,Q2,10-Q,2018-01-31,,Assets,USD,MSFT,0000789019
2017-06-30,250312000000,0001564590-18-009307,2018,Q3,10-Q,2018-04-26,,Assets,USD,MSFT,0000789019
2017-06-30,250312000000,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2017Q2I,Assets,USD,MSFT,0000789019
2017-09-30,249097000000,0001564590-17-020171,2018,Q1,10-Q,2017-10-26,CY2017Q3I,Assets,USD,MSFT,0000789019
2017-12-31,256003000000,0001564590-18-001129,2018,Q2,10-Q,2018-01-31,CY2017Q4I,Assets,USD,MSFT,0000789019
2018-03-31,245497000000,0001564590-18-009307,2018,Q3,10-Q,2018-04-26,CY2018Q1I,Assets,USD,MSFT,0000789019
2018-06-30,258848000000,0001564590-18-019062,2018,FY,10-K,2018-08-03,,Assets,USD,MSFT,0000789019
2018-06-30,258848000000,0001564590-18-024893,2019,Q1,10-Q,2018-10-24,,Assets,USD,MSFT,0000789019
2018-06-30,258848000000,0001564590-19-001392,2019,Q2,10-Q,2019-01-30,,Assets,USD,MSFT,0000789019
2018-06-30,258848000000,0001564590-19-012709,2019,Q3,10-Q,2019-04-24,,Assets,USD,MSFT,0000789019
2018-06-30,258848000000,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q2I,Assets,USD,MSFT,0000789019
2018-09-30,257619000000,0001564590-18-024893,2019,Q1,10-Q,2018-10-24,CY2018Q3I,Assets,USD,MSFT,0000789019
2018-12-31,258859000000,0001564590-19-001392,2019,Q2,10-Q,2019-01-30,CY2018Q4I,Assets,USD,MSFT,0000789019
2019-03-31,263281000000,0001564590-19-012709,2019,Q3,10-Q,2019-04-24,CY2019Q1I,Assets,USD,MSFT,0000789019
2019-06-30,286556000000,0001564590-19-027952,2019,FY,10-K,2019-08-01,,Assets,USD,MSFT,0000789019
2019-06-30,286556000000,0001564590-19-037549,2020,Q1,10-Q,2019-10-23,,Assets,USD,MSFT,0000789019
2019-06-30,286556000000,0001564590-20-002450,2020,Q2,10-Q,2020-01-29,,Assets,USD,MSFT,0000789019
2019-06-30,286556000000,0001564590-20-019706,2020,Q3,10-Q,2020-04-29,,Assets,USD,MSFT,0000789019
2019-06-30,286556000000,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2019Q2I,Assets,USD,MSFT,0000789019
2019-09-30,278955000000,0001564590-19-037549,2020,Q1,10-Q,2019-10-23,CY2019Q3I,Assets,USD,MSFT,0000789019
2019-12-31,282794000000,0001564590-20-002450,2020,Q2,10-Q,2020-01-29,CY2019Q4I,Assets,USD,MSFT,0000789019
2020-03-31,285449000000,0001564590-20-019706,2020,Q3,10-Q,2020-04-29,CY2020Q1I,Assets,USD,MSFT,0000789019
2020-06-30,301311000000,0001564590-20-034944,2020,FY,10-K,2020-07-31,,Assets,USD,MSFT,0000789019
2020-06-30,301311000000,0001564590-20-047996,2021,Q1,10-Q,2020-10-27,,Assets,USD,MSFT,0000789019
2020-06-30,301311000000,0001564590-21-002316,2021,Q2,10-Q,2021-01-26,,Assets,USD,MSFT,0000789019
2020-06-30,301311000000,0001564590-21-020891,2021,Q3,10-Q,2021-04-27,,Assets,USD,MSFT,0000789019
2020-06-30,301311000000,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2020Q2I,Assets,USD,MSFT,0000789019
2020-09-30,301001000000,0001564590-20-047996,2021,Q1,10-Q,2020-10-27,CY2020Q3I,Assets,USD,MSFT,0000789019
2020-12-31,304137000000,0001564590-21-002316,2021,Q2,10-Q,2021-01-26,CY2020Q4I,Assets,USD,MSFT,0000789019
2021-03-31,308879000000,0001564590-21-020891,2021,Q3,10-Q,2021-04-27,CY2021Q1I,Assets,USD,MSFT,0000789019
2021-06-30,333779000000,0001564590-21-039151,2021,FY,10-K,2021-07-29,,Assets,USD,MSFT,0000789019
2021-06-30,333779000000,0001564590-21-051992,2022,Q1,10-Q,2021-10-26,,Assets,USD,MSFT,0000789019
2021-06-30,333779000000,0001564590-22-002324,2022,Q2,10-Q,2022-01-25,,Assets,USD,MSFT,0000789019
2021-06-30,333779000000,0001564590-22-015675,2022,Q3,10-Q,2022-04-26,,Assets,USD,MSFT,0000789019
2021-06-30,333779000000,0001564590-22-026876,2022,FY,10-K,2022-07-28,CY2021Q2I,Assets,USD,MSFT,0000789019
2021-09-30,335418000000,0001564590-21-051992,2022,Q1,10-Q,2021-10-26,CY2021Q3I,Assets,USD,MSFT,0000789019
2021-12-31,340389000000,0001564590-22-002324,2022,Q2,10-Q,2022-01-25,CY2021Q4I,Assets,USD,MSFT,0000789019
2022-03-31,344607000000,0001564590-22-015675,2022,Q3,10-Q,2022-04-26,CY2022Q1I,Assets,USD,MSFT,0000789019
2022-06-30,364840000000,0001564590-22-026876,2022,FY,10-K,2022-07-28,,Assets,USD,MSFT,0000789019
2022-06-30,364840000000,0001564590-22-035087,2023,Q1,10-Q,2022-10-25,,Assets,USD,MSFT,0000789019
2022-06-30,364840000000,0001564590-23-000733,2023,Q2,10-Q,2023-01-24,,Assets,USD,MSFT,0000789019
2022-06-30,364840000000,0000950170-23-014423,2023,Q3,10-Q,2023-04-25,,Assets,USD,MSFT,0000789019
2022-06-30,364840000000,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2022Q2I,Assets,USD,MSFT,0000789019
2022-09-30,359784000000,0001564590-22-035087,2023,Q1,10-Q,2022-10-25,CY2022Q3I,Assets,USD,MSFT,0000789019
2022-12-31,364552000000,0001564590-23-000733,2023,Q2,10-Q,2023-01-24,CY2022Q4I,Assets,USD,MSFT,0000789019
2023-03-31,380088000000,0000950170-23-014423,2023,Q3,10-Q,2023-04-25,CY2023Q1I,Assets,USD,MSFT,0000789019
2023-06-30,411976000000,0000950170-23-035122,2023,FY,10-K,2023-07-27,,Assets,USD,MSFT,0000789019
2023-06-30,411976000000,0000950170-23-054855,2024,Q1,10-Q,2023-10-24,,Assets,USD,MSFT,0000789019
2023-06-30,411976000000,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q2I,Assets,USD,MSFT,0000789019
2023-09-30,445785000000,0000950170-23-054855,2024,Q1,10-Q,2023-10-24,CY2023Q3I,Assets,USD,MSFT,0000789019
2023-12-31,470558000000,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I,Assets,USD,MSFT,0000789019
